Model,Test_Set,MAE,RMSE,R2,Pearson,Spearman,Cell_Type
XGB (PB),OneK1K Test (All),6.452134504772368,8.291375743434315,0.7659838750542974,0.8813594601450883,0.8365252669847054,All
LGBM (PB),OneK1K Test (All),6.329996436800601,8.090641336379802,0.7771777843666967,0.8859744224431059,0.8468800094592979,All
RF (PB),OneK1K Test (All),7.192597373610971,8.9439638154939,0.7276968549969749,0.8704655402022025,0.8154217107145048,All
ElasticNet (PB),OneK1K Test (All),6.459220785141424,7.916996241632506,0.7866397714942859,0.886984441640548,0.8506185018599894,All
MLP (Geneformer),OneK1K Test (All),8.235088076766816,10.325658035560123,0.6370656564757088,0.8055693794951414,0.7494406901891231,All
KNN (Geneformer),OneK1K Test (All),10.307901285131495,13.03597141957488,0.42153193324994775,0.6982504153940352,0.6583324378000084,All
MLP (scGPT),OneK1K Test (All),10.555390688077484,13.281799046692807,0.39950914139189586,0.6759600558560038,0.6702064289200966,All
KNN (scGPT),OneK1K Test (All),10.334872823375552,13.346697719689873,0.3936264636595239,0.6656554507219822,0.6271074707584484,All
XGB (PB),OneK1K Test (B_cells),7.64538076491583,9.720674646676452,0.678348630288252,0.8276876781333528,0.78163009493738,B_cells
LGBM (PB),OneK1K Test (B_cells),7.472562334970456,9.406425282251654,0.6988091247564143,0.8404946445798849,0.7949144465747889,B_cells
RF (PB),OneK1K Test (B_cells),7.7886545820184825,9.767079568345242,0.6752702772309191,0.835743015673233,0.7851974774223671,B_cells
ElasticNet (PB),OneK1K Test (B_cells),8.114988018443364,9.955540037152272,0.6626177448965751,0.8164165386840527,0.7943700059339115,B_cells
MLP (Geneformer),OneK1K Test (B_cells),11.290082881325974,14.102844671869484,0.3229729271506099,0.5925871657712799,0.568359733033295,B_cells
KNN (Geneformer),OneK1K Test (B_cells),12.447631374864285,15.228674312832299,0.2105642535747163,0.5000719336818586,0.49590246145595235,B_cells
MLP (scGPT),OneK1K Test (B_cells),15.17917049400675,18.655561936456653,-0.18470237951107982,0.2956339354884913,0.31173634066848577,B_cells
KNN (scGPT),OneK1K Test (B_cells),12.716085794226677,15.74192548805154,0.1564549232414031,0.4280515948393866,0.4520879527377224,B_cells
XGB (PB),OneK1K Test (CD4_T),7.824211901710147,9.762316294357502,0.6755869326773211,0.8258416421794466,0.7663805718438516,CD4_T
LGBM (PB),OneK1K Test (CD4_T),8.072034919868083,9.854816120139771,0.6694100546068784,0.8232152700770253,0.7621650457387723,CD4_T
RF (PB),OneK1K Test (CD4_T),8.061138352158522,10.25790124109909,0.641813166782542,0.820328865828824,0.7706116533958133,CD4_T
ElasticNet (PB),OneK1K Test (CD4_T),8.688011841478302,10.38562751981427,0.6328377053272998,0.7995713090095649,0.7479836633311558,CD4_T
MLP (Geneformer),OneK1K Test (CD4_T),7.913875716801875,10.194861761709914,0.6462020820267438,0.80961930178009,0.7910929917907255,CD4_T
KNN (Geneformer),OneK1K Test (CD4_T),10.365136936637414,13.206849012767302,0.406267235220204,0.687467155496925,0.6493517598000114,CD4_T
MLP (scGPT),OneK1K Test (CD4_T),9.371564943243284,12.030089470707185,0.5073592816005336,0.7454194831798675,0.6978121619870619,CD4_T
KNN (scGPT),OneK1K Test (CD4_T),11.47033487717239,14.137827005132511,0.3196100083214807,0.5891560710281958,0.5682456597561588,CD4_T
XGB (PB),OneK1K Test (CD8_T),7.087986246744792,8.858120743014199,0.732898835297906,0.8596656533295609,0.8030603155921071,CD8_T
LGBM (PB),OneK1K Test (CD8_T),6.923286791540493,8.575681244708651,0.7496602291333815,0.8696318301027355,0.8180557663865594,CD8_T
RF (PB),OneK1K Test (CD8_T),7.775085753897474,9.6501915662437,0.6829962063740488,0.8511531190384904,0.7984351627191295,CD8_T
ElasticNet (PB),OneK1K Test (CD8_T),7.588722957976066,9.39413956284258,0.6995953809508788,0.8395468239553124,0.7974966507572361,CD8_T
MLP (Geneformer),OneK1K Test (CD8_T),9.245784357534902,11.400191529080038,0.5575981995047312,0.7673366459009859,0.7527436300771126,CD8_T
KNN (Geneformer),OneK1K Test (CD8_T),9.45664020876139,11.887481695684452,0.5189698336353392,0.7298620797150958,0.691434428765355,CD8_T
MLP (scGPT),OneK1K Test (CD8_T),10.980370607014443,13.349283559040074,0.3933914787250131,0.6777776621488669,0.6596650210829178,CD8_T
KNN (scGPT),OneK1K Test (CD8_T),10.295344541073955,13.129029575215185,0.4132435888892363,0.6441647002428088,0.6248623012584491,CD8_T
XGB (PB),OneK1K Test (monocytes),6.864981115432013,8.784571589462896,0.7373159139226133,0.873529245563315,0.8361519362595325,monocytes
LGBM (PB),OneK1K Test (monocytes),6.803291377625621,8.662759544703237,0.7445504690000565,0.8788334807653916,0.8513444227144927,monocytes
RF (PB),OneK1K Test (monocytes),7.689214826729371,9.636938014230951,0.6838663530697722,0.8559308283959147,0.8139128323669302,monocytes
ElasticNet (PB),OneK1K Test (monocytes),6.8126851536137085,8.620190660868609,0.7470548634460844,0.865009915560764,0.8325741834766236,monocytes
MLP (Geneformer),OneK1K Test (monocytes),14.319333279864985,17.851756044488265,-0.08481199057369615,0.38078282249654427,0.3357850615483853,monocytes
KNN (Geneformer),OneK1K Test (monocytes),12.583556082639257,16.38793859458179,0.08579993835332578,0.3306637471342915,0.29024389822622976,monocytes
MLP (scGPT),OneK1K Test (monocytes),16.26873264850032,22.40419999464497,-0.7086435515702809,0.18516342290377424,0.26832108842023256,monocytes
KNN (scGPT),OneK1K Test (monocytes),13.04125479860562,16.7862539198018,0.04081988490936017,0.2504192818074365,0.21211925883480123,monocytes
XGB (PB),OneK1K Test (NK),6.807060041881743,8.48881907487729,0.7547058758613011,0.8831316072654213,0.8493273997687658,NK
LGBM (PB),OneK1K Test (NK),6.301291142064346,8.022855607194629,0.7808958809196253,0.8911136454517685,0.8546369923045608,NK
RF (PB),OneK1K Test (NK),7.570282250389981,9.696658648114681,0.6799360173069273,0.85154143547991,0.7971077645851807,NK
ElasticNet (PB),OneK1K Test (NK),7.200973080486732,8.709421232407534,0.7417911152990846,0.8613516680670755,0.8058914069246697,NK
MLP (Geneformer),OneK1K Test (NK),11.404724119847032,14.825881630045389,0.251772532679557,0.5801779079258096,0.5734774750575428,NK
KNN (Geneformer),OneK1K Test (NK),11.711226912597438,15.3920688947524,0.19353302533261618,0.45268976762166707,0.4598293801361031,NK
MLP (scGPT),OneK1K Test (NK),12.44110167949847,16.030603420006923,0.12523312167504763,0.4796062058725778,0.47232558913148,NK
KNN (scGPT),OneK1K Test (NK),11.93005275178041,15.454391661831298,0.18698900475574687,0.4454525178075342,0.45218647056797634,NK
